g_fit,E_fit_exp,E_fit_avg,Grad Gs/cm,Intensity a.u.,Grad T/m,Normalized Intensity
0.0935,0.9877460326534717,0.9999461340825174,9.35,4.0231,0.0935,1.0
0.14441482965931865,0.9876762360140254,0.9998715028428921,457.3,3.44741,4.573,0.856903880092466
0.19532965931863727,0.9875765760100277,0.9997649412250771,647.7,3.13453,6.477,0.7791330068852377
0.24624448897795592,0.9874470634452523,0.9996264623989184,793.05,2.77291,7.930499999999999,0.689247098008998
0.29715931863727457,0.9872877123581671,0.9994560834763536,915.45,2.54652,9.1545,0.6329745718475802
0.3480741482965932,0.9870985400192305,0.9992538255073253,1023.4,2.23112,10.234,0.5545773160000994
0.3989889779559118,0.9868795669275667,0.999019713474755,1121.15,2.01255,11.211500000000001,0.5002485645397827
0.4499038076152305,0.9866308168070188,0.9987537762885758,1211.25,1.86203,12.1125,0.4628346300116825
0.5008186372745491,0.9863523166015828,0.9984560467788359,1295.4,1.62457,12.954,0.4038104943948696
0.5517334669338678,0.9860440964702222,0.998126561687863,1373.6,1.46699,13.735999999999999,0.36464169421590314
0.6026482965931864,0.9857061897810663,0.9977653616615014,1447.55,1.32817,14.4755,0.3301359648032612
0.6535631262525051,0.9853386331049915,0.9973724912394238,1518.95,1.31252,15.1895,0.326245929755661
0.7044779559118237,0.9849414662085902,0.9969479988445147,1586.1,1.20774,15.860999999999999,0.30020133727722403
0.7553927855711424,0.9845147320465271,0.9964919367713384,1650.7,1.08575,16.507,0.2698789490691258
0.806307615230461,0.9840584767532842,0.9960043611736913,1713.6,0.93704,17.136,0.23291491635803233
0.8572224448897797,0.9835727496343007,0.9954853320512426,1773.1,0.85421,17.730999999999998,0.2123263155278268
0.9081372745490983,0.9830576031565066,0.9949349132352664,1831.75,0.89371,18.3175,0.22214461484924558
0.9590521042084169,0.9825130929382524,0.9943531723734795,1887.85,0.83358,18.8785,0.20719842907210856
1.0099669338677355,0.9819392777386412,0.9937401809139775,1943.1,0.70517,19.430999999999997,0.17528025651860504
1.0608817635270542,0.9813362194462625,0.9930960140882853,1995.8,0.5874,19.958,0.14600681066839005
1.1117965931863727,0.9807039830673324,0.9924207508935231,2047.65,0.6795,20.4765,0.16889960478238172
1.1627114228456914,0.9800426367132434,0.9917144740736956,2098.65,0.58113,20.9865,0.14444831100395217
1.21362625250501,0.9793522515875273,0.9909772701001122,2147.95,0.53096,21.479499999999998,0.13197782804305136
1.2645410821643288,0.9786329019722331,0.9902092291509429,2196.4,0.49559,21.964000000000002,0.12318610027093534
1.3154559118236473,0.9778846652137275,0.9894104450899206,2243.15,0.56414,22.4315,0.14022519947304316
1.366370741482966,0.9771076217079165,0.9885810154441932,2289.9,0.42128,22.899,0.10471526931967884
1.4172855711422847,0.9763018548848975,0.9877210413813372,2334.95,0.45328,23.3495,0.112669334592727
1.4682004008016032,0.9754674511930413,0.9868306276855427,2379.15,0.40183,23.7915,0.09988068902090427
1.519115230460922,0.9746045000825134,0.9859098827329695,2423.35,0.48335,24.2335,0.12014367030399442
1.5700300601202406,0.9737130939882332,0.984958918466294,2465.85,0.40952,24.6585,0.10179215033183366
1.6209448897795593,0.9727933283122817,0.98397785036845,2508.35,0.33366,25.0835,0.0829360443439139
1.6718597194388778,0.9718453014057566,0.9829667974355727,2550.0,0.32335,25.5,0.0803733439387537
1.7227745490981965,0.9708691145500868,0.9819258821491601,,,,
1.7736893787575152,0.9698648719378029,0.9808552304474546,,,,
1.8246042084168337,0.9688326806527764,0.9797549716960624,,,,
1.8755190380761524,0.9677726506499289,0.9786252386578165,,,,
1.926433867735471,0.9666848947344174,0.9774661674618954,,,,
1.9773486973947898,0.9655695285403028,0.9762778975722094,,,,
2.0282635270541083,0.9644266705087046,0.9750605717550626,,,,
2.079178356713427,0.963256441865451,0.9738143360461073,,,,
2.1300931863727457,0.9620589665982282,0.972539339716598,,,,
2.1810080160320644,0.9608343714332346,0.9712357352389582,,,,
2.231922845691383,0.9595827858113488,0.9699036782516725,,,,
2.282837675350702,0.9583043418638164,0.968543327523517,,,,
2.3337525050100205,0.9569991743874591,0.967154844917139,,,,
2.3846673346693392,0.9556674208194187,0.9657383953519993,,,,
2.435582164328658,0.9543092212114385,0.964294146766693,,,,
2.486496993987976,0.9529247182036897,0.9628222700806547,,,,
2.537411823647295,0.9515140569981506,0.96132293915527,,,,
2.5883266533066136,0.9500773853315453,0.9597963307544009,,,,
2.6392414829659323,0.9486148534478485,0.9582426245043423,,,,
2.690156312625251,0.9471266140703658,0.9566620028532195,,,,
2.7410711422845697,0.945612822373393,0.9550546510298451,,,,
2.7919859719438884,0.9440736359534664,0.9534207570020475,,,,
2.8429008016032067,0.9425092148002092,0.9517605114344837,,,,
2.8938156312625254,0.9409197212667805,0.9500741076459533,,,,
2.944730460921844,0.939305320039939,0.9483617415662292,,,,
2.995645290581163,0.9376661781097242,0.9466236116924139,,,,
3.0465601202404815,0.9360024647387664,0.9448599190448433,,,,
3.0974749498998,0.9343143514312329,0.9430708671225495,,,,
3.148389779559119,0.9326020119014179,0.9412566618582973,,,,
3.199304609218437,0.9308656220419842,0.9394175115732103,,,,
3.250219438877756,0.9291053598918666,0.937553626931001,,,,
3.3011342685370746,0.9273214056038426,0.935665220891823,,,,
3.3520490981963933,0.9255139414117823,0.9337525086657567,,,,
3.402963927855712,0.9236831515975822,0.9318157076659465,,,,
3.4538787575150307,0.9218292224577944,0.9298550374614043,,,,
3.5047935871743494,0.9199523422699598,0.9278707197294951,,,,
3.5557084168336677,0.9180527012586506,0.9258629782081198,,,,
